k,Antes de ENN,Después de ENN
383,85.016998,96.635292
384,85.016998,96.635292
385,84.956993,96.656464
386,84.936989,96.655678
387,84.916985,96.654884
388,84.916985,96.654884
389,84.89698,96.677658
390,84.876976,96.700447
391,84.856972,96.699677
392,84.836967,96.722473
393,84.816963,96.721695
394,84.796959,96.744514
395,84.75695,96.742973
396,84.736946,96.765816
397,84.716949,96.788666
398,84.696938,96.811523
399,84.676933,96.834396
400,84.676933,96.834396
401,84.656929,96.833649
402,84.656929,96.833649
403,84.61692,96.832153
404,84.596924,96.855049
405,84.57692,96.854309
406,84.596924,96.831406
407,84.536911,96.87648
408,84.516899,96.87574
409,84.496895,96.898674
410,84.476891,96.897942
411,84.476891,96.897942
412,84.456894,96.897202
413,84.43689,96.920166
414,84.396881,96.942398
415,84.396881,96.942398
416,84.356873,96.98838
417,84.336868,96.987663
418,84.29686,97.009972
419,84.29686,97.009972
420,84.29686,97.009972
421,84.276855,97.032997
422,84.256851,97.032288
423,84.256851,97.032288
424,84.196838,97.07769
425,84.196838,97.07769
426,84.176834,97.076996
427,84.176834,97.076996
428,84.15683,97.076302
429,84.136826,97.075607
430,84.136826,97.051826
431,84.116821,97.074905
432,84.056816,97.120415
433,84.016808,97.14286
434,83.996796,97.142181
435,83.996796,97.142181
436,83.996796,97.142181
437,83.956787,97.164642
438,83.956787,97.164642
439,83.916786,97.187126
440,83.916786,97.187126
441,83.896782,97.210297
442,83.896782,97.210297
443,83.896782,97.210297
444,83.876778,97.209633
445,83.876778,97.209633
446,83.856773,97.208969
447,83.816757,97.231499
448,83.776756,97.254059
449,83.776756,97.254059
450,83.756752,97.27729
451,83.756752,97.27729
452,83.716743,97.299881
453,83.716743,97.299881
454,83.676735,97.322495
455,83.656731,97.321854
456,83.616722,97.344498
457,83.616722,97.320572
458,83.596718,97.343864
459,83.576714,97.367165
460,83.596718,97.343864
461,83.556709,97.366531
462,83.536705,97.365898
463,83.496704,97.41256
464,83.496704,97.41256
465,83.476692,97.411934
466,83.456688,97.411308
467,83.436684,97.41069
468,83.436684,97.41069
469,83.416679,97.434052
470,83.436684,97.41069
471,83.356674,97.480202
472,83.356674,97.456207
473,83.316666,97.502998
474,83.316666,97.502998
475,83.316666,97.502998
476,83.296654,97.502403
477,83.296654,97.502403
478,83.276657,97.501801
479,83.256653,97.501198
480,83.236649,97.500595
481,83.19664,97.523445
482,83.176636,97.546898
483,83.156631,97.54631
484,83.156631,97.54631
485,83.116623,97.569191
486,83.096619,97.592682
487,83.096619,97.592682
488,83.076614,97.592102
489,83.05661,97.615608
490,83.05661,97.615608
491,83.036606,97.639122
492,83.016602,97.63855
493,82.976601,97.685631
494,82.956596,97.685074
495,82.956596,97.685074
496,82.936584,97.684517
497,82.936584,97.684517
498,82.91658,97.683952
499,82.876572,97.70697
500,82.836571,97.730019
501,82.796562,97.753075
502,82.796562,97.753075
503,82.77655,97.752533
504,82.756546,97.776169
505,82.756546,97.776169
506,82.736549,97.775627
507,82.696541,97.822937
508,82.696541,97.822937
509,82.676537,97.846603
510,82.656532,97.846077
511,82.636528,97.869766
512,82.596519,97.892952
513,82.576515,97.892441
514,82.556511,97.89193
515,82.556511,97.89193
516,82.536507,97.891418
517,82.516502,97.915146
518,82.476494,97.938393
519,82.476494,97.938393
520,82.456497,97.937897
521,82.416481,97.961166
522,82.416481,97.961166
523,82.396477,97.984947
524,82.356468,98.008255
525,82.336464,98.007774
526,82.336464,98.007774
527,82.296463,98.031113
528,82.316467,98.007294
529,82.276459,98.054947
530,82.296463,98.031113
531,82.256454,98.054474
532,82.256454,98.030159
533,82.216438,98.077858
534,82.216438,98.077858
535,82.176437,98.101265
536,82.176437,98.101265
537,82.176437,98.101265
538,82.176437,98.101265
539,82.136429,98.124695
540,82.156433,98.100807
541,82.116425,98.124237
542,82.076416,98.147697
543,82.076416,98.147697
544,82.076416,98.147697
545,82.056412,98.14724
546,82.056412,98.14724
547,81.996399,98.170288
548,81.996399,98.170288
549,81.936386,98.217773
550,81.936386,98.217773
551,81.936386,98.193359
552,81.936386,98.193359
553,81.936386,98.193359
554,81.916389,98.217339
555,81.876373,98.240898
556,81.876373,98.240898
557,81.836365,98.264488
558,81.81636,98.288506
559,81.77636,98.312134
560,81.77636,98.312134
561,81.756355,98.311722
562,81.756355,98.311722
563,81.716339,98.335373
564,81.716339,98.335373
565,81.696335,98.334969
566,81.696335,98.334969
567,81.616325,98.40686
568,81.596321,98.406471
569,81.576317,98.406082
570,81.576317,98.406082
571,81.536308,98.429832
572,81.536308,98.429832
573,81.476295,98.477783
574,81.456291,98.501961
575,81.436287,98.501602
576,81.456291,98.477402
577,81.456291,98.477402
578,81.456291,98.477402
579,81.416283,98.501228
580,81.416283,98.501228
581,81.376274,98.52507
582,81.35627,98.549301
583,81.336266,98.548943
584,81.296257,98.57283
585,81.276253,98.572479
586,81.236252,98.596405
587,81.236252,98.596405
588,81.216248,98.620689
589,81.216248,98.620689
590,81.216248,98.620689
591,81.176231,98.644653
592,81.176231,98.644653
593,81.156227,98.644318
594,81.116226,98.668312
595,81.116226,98.668312
596,81.096222,98.69265
597,81.056213,98.692009
598,81.036209,98.71637
599,81.016197,98.716049
600,81.016197,98.716049
601,80.976196,98.74012
602,80.956192,98.739807
603,80.936188,98.764214
604,80.936188,98.764214
605,80.896179,98.78833
606,80.856171,98.837212
607,80.836166,98.836922
608,80.816162,98.861382
609,80.796158,98.861107
610,80.796158,98.861107
611,80.796158,98.861107
612,80.776154,98.88559
613,80.756149,98.885307
614,80.736145,98.909813
615,80.716148,98.909538
616,80.696144,98.934059
617,80.676132,98.9338
618,80.656128,98.958328
619,80.616119,98.957817
620,80.596123,98.982376
621,80.596123,98.982376
622,80.576118,99.00695
623,80.53611,99.031296
624,80.53611,99.031296
625,80.476089,99.055435
626,80.476089,99.055435
627,80.476089,99.055435
628,80.456093,99.080063
